title,label,color,labeled_places_22_02_pid,labeled_places_22_02_place_id
"Невский пр.,Гостинный двор,г.Санкт-Петербург",22,#cd3cc8,15304272,15304272
Курорт Охта-Парк,22,#cd3cc8,17463461,17463461
Дачный проспект 16 корпус 6,22,#cd3cc8,9076347,9076347
санкт- петербург метро Ветеранов,22,#cd3cc8,11799583,11799583
Подводника Кузьмина 5,22,#cd3cc8,6891070,6891070
Подводника Кузьмина 11,22,#cd3cc8,11730301,11730301
Ленинский проспект 121-4,22,#cd3cc8,5758067,5758067
Санкт-Петербург Зины Портновой 21 1,22,#cd3cc8,12436984,12436984
#Вместе,22,#cd3cc8,11968511,11968511
Зины портновой 21 кор 1,22,#cd3cc8,5792877,5792877
Ленинский пр. 119,22,#cd3cc8,5484601,5484601
"Ленинский проспект, 120",22,#cd3cc8,6456236,6456236
Марчелли's,22,#cd3cc8,5357627,5357627
Зины портновой 17,22,#cd3cc8,8580063,8580063
Улица зины портновой 11,22,#cd3cc8,7422343,7422343
Цирк-шапито Автово,53,#41c4db,9081285,9081285
Кронштадтская ул,53,#41c4db,5929511,5929511
"Евразия, пр. стачек 77",53,#41c4db,9456387,9456387
"Санкт-Петербург, проспект Стачек, 75",53,#41c4db,13733073,13733073
Лицей 389,53,#41c4db,9572257,9572257
"пр. Стачек, д.67",53,#41c4db,6652960,6652960
Райский уголок,53,#41c4db,5907,5907
Зенитчиков 2,53,#41c4db,8773010,8773010
Юго-Запад,53,#41c4db,1705,1705
La Terrasse,53,#41c4db,7223,7223
FC ZENIT-ЗЕНИТ,53,#41c4db,8499500,8499500
СПб СВУ МВД РФ,53,#41c4db,5603090,5603090
"Театр кукол ""Бродячая собака""",53,#41c4db,13437794,13437794
Проспект Стачек 55,53,#41c4db,10784672,10784672
"Автосервис АВТОВО (СТО,Эвакуация,Запчасти)",53,#41c4db,8970803,8970803
"Банк вакансий и газета ""Заработай в СПб!""",53,#41c4db,7179688,7179688
Дворцовая площядь,23,#bb73e4,8486605,8486605
Санкт петербург двинская 2,69,#13d282,9735577,9735577
Росморпорт,69,#13d282,8980398,8980398
"Санкт-Петербург, ул. Гапсальская 2",69,#13d282,5711073,5711073
Балтийская,69,#13d282,52302,52302
Ресторан отеля «Аннушка»,69,#13d282,4774,4774
Балтийский завод-судостроение,66,#1ae2d2,15916708,15916708
большой проспект в.о. 74,66,#1ae2d2,10693951,10693951
Ресторан  «Я люблю...La panorama»,66,#1ae2d2,10390537,10390537
"БЦ ""Биржа""",66,#1ae2d2,8931769,8931769
"Ресторан ""Я люблю...""",66,#1ae2d2,11198855,11198855
Формула кино Нео,39,#75d098,7428746,7428746
"Бильярдный клуб ""Гавань""",66,#1ae2d2,12952085,12952085
"""Васин сад""",66,#1ae2d2,4620361,4620361
Alex Fitness В.О.,22,#cd3cc8,7642977,7642977
Васин Сад,66,#1ae2d2,14348564,14348564
Василеостровский парк,22,#cd3cc8,6350042,6350042
Детская инфекционная больница #3,39,#75d098,6711665,6711665
"Государственная Морская Академия им. Адмирала Макарова, ул. 22-я Линия В.О. Санкт-Петербург, Санкт-Петербург",39,#75d098,6560079,6560079
Музей городского электрического транспорта,39,#75d098,181018,181018
Всероссийский геологический институт,39,#75d098,10989343,10989343
ВСЕГЕИ,39,#75d098,10989239,10989239
